app_name;review_all;sentimen;label_manual
Ajaib;apk ajaib saham sangat mudah di gunakan fitur sangat lengkap dan mudah di pahami;positive;positive
Ajaib;jujur ini aplikasi paling tidak rekomen biaya deposit diaplikasi ini mahal dan ketika mau jual uang yang mau masuk ke rekening jg dapat potongan mahal cs nya slow respon bahkan ulasan di google tidak ada direspon masukan² orang² saldo tarikan dari saham gw ngk masuk masuk sampai gw unistal ini aplikasi gw saranin pake pluang saja atau mobee klau mau invest reksa dana obligasi dan saham pilihan terbaik adalah pake bibit jangan pake aplikasi ini tidak ada di dengarin masukan orang orang;negative;negative
Stockbit;kenapa view portofolio saya tidak kelihatan di app stockbit sayapadahal saya sudah updatetolong di perbaiki lah;neutral;negative
IPOT;keren bngt;positive;positive
IPOT;the best aplikasi trading dengan fitur terlengkap;positive;positive
Ajaib;kepana malah bermasalah setelah di perbarui;negative;negative
Stockbit;stockbit setiap hari jam 9 bahkan sampai jam 10 tidak bisa order jual sudah longsor cuma meratapi nasib dan tidak besi beli sudah terbang tinggi cuma bisa jd penonton sja sudah rugi besar tidak cuan lg;negative;negative
Stockbit;perdana download aplikasi ini mau coba kalau bagus lanjut;positive;neutral
Ajaib;order sudah dibatalkan beberapa saat kemudian malah matched;negative;negative
Stockbit;sinyal suka eror pas opening pikir2 lagi klo mau buka akun guys;negative;negative
Stockbit;bagi orang yang baru mulai atau menggunakan virtual balance bkn uang rill itu cuma bisa belajar dengan mencoba transaksi cuma satu kali bukan berkali² thanks apk nya mudah;positive;positive
Stockbit;aplikasi nya lengkap dan mudah digunakan;positive;positive
IPOT;fitur beli saham ipo lewat aplikasi tanpa perlu akses web sangat membantu prosesnya simpel dan cepat cocok buat yang sibuk seperti saya selain itu laporan ringkasan pajak untuk spt tahunan bikin semuanya terasa lebih mudah tidak perlu repot hitung manual lagi sangat membantu hidup lebih terorganisir;positive;positive
Stockbit;pelayanan pusat bantuan sangat sangat lambat dan bertele tele;negative;negative
IPOT;keren cukup bagus;positive;positive
Stockbit;bisa tidak kalau pagi² begini jgn eror buat rugi saja looo sialll;negative;negative
Ajaib;selamat sore team ajaib bisa bantu kasih solusi untuk whiz saya di ajaib kenapa di nonaktip kan yah padahal bulan kmrn masih bisa sekarang malah tidak bisa buka qris;negative;negative
IPOT;sangat bagus dan bermanfaat;positive;positive
Stockbit;chartbit tidak ada;positive;negative
Ajaib;aplikasi ajaib keren pokonyabeli saham praktisaman dan terpercaya josss pokonya;positive;positive
Ajaib;kenapa ya membuka alikasinya lambat sekarang;negative;negative
Stockbit;lagi eror ya hari ini;negative;negative
Stockbit;eror knapa pagi pagi king;negative;negative
IPOT;aplikasinya bagus sangat mudah digunakan fee buy and sell kompetitif banyak promo edukasi dan hal menarik lainnya dari aplikasi ini;positive;positive
IPOT;bagus sih untuk pemula seperti saya untuk investasi jangka panjang sambil belajar semangat terus kembangkan aplikasinya;positive;positive
Ajaib;aplikasi investasi saham dan investasi reksadana yang sangat bagus untuk pemula;positive;positive
Stockbit;gimana ini asal open market tbtb eror trs bukan masalahnya baru 1 hari 2 hari masalahnya org yang mau jual yang mau beli jadi kesusahan grgr sitem lu yang bodoh ini;negative;negative
IPOT;sejak menggunakan aplikasi ipot semuanya berubah uiuxnya sangat ramah pengguna bahkan untuk orang yang baru belajar investasi sekalipun kelebihan yang saya rasakan tanpa minimum deposit ini sangat membantu saya yang memulai dengan modal kecil fitur auto order dan robo tradingnya canggih membantu saya disiplin dalam strategi jual beli edukasi gratis dan lengkap webinar artikel dan video pembelajaran sangat membantu pemahaman saya support cepat dan responsif;positive;positive
Ajaib;tolong tambahkn fitur tampilkn qris bayar jgn yang scan qr itu saja saran sy;neutral;neutral
IPOT;semoga bisa jd tabungan dan memudahkan transaksi;neutral;positive
Ajaib;saham asii selalu menarik buat saya karena perusahaannya besar dan stabil waktu beli lewat aplikasi ini saya merasa aman karena sistem pembayarannya jelas;positive;positive
Stockbit;salah satu pasar yang ku suka simpel mudah di pakai;positive;positive
Stockbit;aplikasi sering error ketika pasar baru bukamau tp ndak bisaskrang turun hrga;negative;negative
IPOT;saya sudah download aplikasi ini pengalaman pertama untuk investasi saham dengan aplikasi ipot;neutral;neutral
Ajaib;saya sudah investasi disini selama 2 tahun dan sangat nyaman untung nya pasti dan proses sangat cepat pokoknya mantap deh;positive;positive
Ajaib;aplikasi nya sangat membantu buat kita yang sedang belajar investasi;positive;positive
Ajaib;aplikasi ini cocok buat yang belajar saham tampilan nya simpel dan fiturnya lengkap;positive;positive
IPOT;saya sangat puas menggunakan aplikasi ipot dari indopremier aplikasi ini sangat membantu saya dalam berinvestasi saham dan reksadana secara mudah dan praktis langsung dari hp tampilannya userfriendly fiturfiturnya lengkap mulai dari analisis teknikal grafik realtime hingga fitur robo trading yang sangat membantu buat pemula seperti saya proses pendaftaran juga cepat tanpa perlu tanda tangan fisik dan customer servicenya responsif yang paling saya suka tidak ada minimum deposit;positive;positive
Ajaib;aplikasi sampah penarikan dan jual saham lamanya tidak ngotak mau transfer dari saldo rdn ke rekening pribadi saja berbelit belit aplikasi tidak berguna sampah;negative;negative
Stockbit;scam eror di jam2 krusial market merugikan pelanggan tidak ada kompensasi ke pelanggan yang sudah dirugikan;negative;negative
Ajaib;tidak dapat melengkapi registrasi dan mengubah nama akun karna sering eror dan pelayanan chat admin lambat lebih baik ganti lambang dengan kura2 nilai nol bintang seharusmya;negative;negative
IPOT;mohon dikasih fitur ahli waris dongtakut saat kita mati mendadak dana hilangsedang keluarga tidak tahu kita punya saham;neutral;neutral
Stockbit;coba coba dulu;neutral;neutral
Ajaib;ini saya sudah bikin akun ajaib sudah verifikasi juga dari tanggal 9 masih dalam verifikasi lama bangett;negative;negative
IPOT;ipot sangat keren coba tidak ada limit nya;positive;positive
Ajaib;bikin akun saja susah banget foto ktp berkali2 ke tolak terus tidak bisa2;negative;negative
Ajaib;lagi dan lagi perasaan tidak mengenakkan dari apk ajaib tanggal 17 september saya deposit sampai tanggal 18 september sekarang waktu saya memberi ulasan ini rdn saya belum bertambah dari pihak cs apk mengatakan kesalahan dari pihak ke tiga padahal dari pihak ke tiga status sudah berhasil dari kemarin saya memberikan bukti tf ss rdn ss no resi tf dan sampai sekarang saldo rdn belum bertambah padahal sudah lebih dari 1 x 24 jam;negative;negative
Stockbit;overall bagus banget;positive;positive
Ajaib;aplikasi ini sangat membantu proses cepat tidak lambat mantapp;positive;positive
IPOT;saya kok tidak bisa login yaa tiba tiba tidak bisa login sudah sudah instal ulang juga kenapa yaa no telp cs nya tidak bisa di telp;neutral;negative
IPOT;sistem tidak update;negative;negative
